,Meterage,Rooms,Parkings,Storage rooms,Elevator,Year,Price
0,80,2,True,True,True,1,9500000000
1,95,2,True,True,False,18,7250000000
2,73,2,True,True,True,17,7250000000
3,68,2,True,True,True,16,6650000000
4,60,2,True,True,True,15,6500000000
5,75,2,True,True,True,16,7690000000
6,73,2,True,True,True,19,7100000000
7,68,2,True,True,True,17,6650000000
8,73,2,True,True,True,23,6750000000
9,69,2,True,True,True,22,6700000000
10,88,2,True,True,False,18,7500000000
11,100,2,True,True,True,19,7400000000
12,60,2,True,True,True,8,5000000000
13,109,2,True,True,True,10,7600000000
14,80,2,True,True,True,16,7100000000
15,89,2,True,True,True,8,7800000000
16,87,2,True,True,True,11,7000000000
17,114,2,True,True,True,1,14820000000
18,90,2,True,True,True,21,7350000000
19,105,2,True,True,True,4,12600000000
20,99,2,True,True,True,1,12870000000
21,132,3,True,True,True,1,19800000000
22,87,2,True,True,True,11,7600000000
23,86,2,True,True,True,18,7500000000
24,86,2,True,True,True,5,7000000000
25,65,1,True,True,True,1,10200000000
26,75,2,True,True,True,10,8100000000
27,87,2,True,True,False,17,7500000000
28,90,2,True,True,True,20,9500000000
29,76,2,True,True,True,12,6900000000
30,96,2,True,True,False,21,7690000000
31,80,2,True,True,True,19,7850000000
32,67,2,True,True,True,19,6950000000
33,77,2,True,True,True,19,7900000000
34,82,2,True,True,True,11,9000000000
35,80,2,True,True,True,11,9100000000
36,130,3,True,True,True,14,12500000000
37,81,2,True,True,True,11,9100000000
38,58,1,True,True,True,18,6550000000
39,82,2,False,True,False,18,6000000000
40,80,2,True,True,True,18,6400000000
41,83,2,False,True,False,20,6000000000
42,75,1,True,True,True,2,10500000000
43,85,2,True,True,True,12,9450000000
44,80,2,True,True,True,1,10000000000
45,90,2,True,True,False,23,6800000000
46,98,2,True,True,True,1,21000000000
47,92,2,True,True,True,1,14800000000
48,72,2,True,True,True,1,10500000000
49,90,2,True,True,True,15,9300000000
50,51,1,True,True,True,11,4750000000
