,Meterage,Rooms,Parkings,Storage rooms,Elevator,Year,Price
0,64,1,False,False,False,20,5450000000
1,140,3,True,True,True,1,19600000000
2,114,2,True,True,True,1,13700000000
3,112,2,True,True,True,6,10000000000
4,120,2,True,True,True,11,10000000000
5,87,2,True,True,True,6,8000000000
6,89,2,True,True,True,13,8200000000
7,90,2,True,True,True,13,5800000000
8,95,2,True,True,True,3,9200000000
9,150,3,True,True,True,1,15000000000
10,167,3,True,True,True,1,16500000000
11,95,2,True,True,True,3,9000000000
12,90,2,True,True,True,2,8000000000
13,120,2,True,True,True,3,13000000000
14,100,2,True,True,True,3,9000000000
15,120,2,True,True,True,3,12000000000
16,124,2,True,True,True,1,18000000000
17,68,1,True,True,True,1,8200000000
18,78,2,True,True,True,7,9200000000
19,82,2,True,True,True,7,9500000000
20,84,2,True,True,True,1,13500000000
21,50,1,True,True,True,6,1800000000
22,70,1,True,True,True,2,7100000000
23,65,2,True,True,True,13,7100000000
24,55,1,False,True,True,8,4350000000
25,57,1,True,True,True,20,6600000000
26,190,3,True,True,True,1,22000000000
27,75,2,True,True,True,18,7350000000
28,56,1,True,True,True,13,5600000000
29,60,1,True,True,True,15,5400000000
30,56,1,True,True,True,15,5800000000
31,50,1,True,True,True,8,6500000000
32,52,1,True,True,True,18,4850000000
33,80,2,True,True,False,10,8500000000
34,62,1,True,True,True,24,6400000000
35,80,1,True,True,False,10,3650000000
36,133,3,True,True,True,2,17955000000
37,65,2,True,True,False,21,5430000000
38,68,2,True,True,False,13,6350000000
39,94,2,True,True,True,1,7000000000
40,54,2,True,True,True,17,5500000000
41,86,2,True,True,True,1,12900000000
42,125,2,True,True,True,1,19200000000
43,85,2,True,True,True,8,9200000000
44,80,2,False,True,False,18,7000000000
45,100,2,True,True,True,1,13050000000
46,113,2,True,True,True,1,16800000000
47,67,1,True,True,True,1,8200000000
48,132,3,True,True,True,13,15100000000
49,80,2,True,True,True,1,13000000000
50,132,3,True,True,True,1,16300000000
51,80,2,True,True,False,18,9100000000
52,73,2,True,True,False,9,7500000000
53,80,2,True,True,True,5,9600000000
54,117,2,True,True,True,1,13500000000
55,118,2,True,True,True,3,15000000000
56,118,2,True,True,True,1,13500000000
57,122,2,True,True,True,1,13000000000
58,117,2,True,True,True,1,13700000000
59,58,1,True,True,True,1,8800000000
60,62,1,True,True,True,6,5900000000
61,52,1,True,True,False,16,5000000000
62,55,1,True,True,False,13,5300000000
63,65,1,True,True,True,1,9400000000
64,68,2,True,True,True,2,6800000000
65,78,2,True,True,True,3,13000000000
66,97,2,True,True,True,12,12000000000
67,80,2,True,True,True,11,9300000000
68,73,2,True,True,True,18,7000000000
69,81,2,True,True,False,16,5350000000
70,95,2,True,True,True,9,9300000000
71,86,2,True,True,True,1,13000000000
72,94,2,True,True,True,7,9200000000
73,80,2,True,True,True,15,7600000000
74,110,2,True,True,True,13,13700000000
75,80,2,True,True,True,15,8800000000
76,109,2,True,True,True,15,13800000000
77,67,2,True,True,True,108,7300000000
78,82,2,True,True,True,17,8400000000
79,88,2,True,True,True,13,10000000000
80,78,2,True,True,False,10,7800000000
81,74,2,True,True,False,10,7500000000
82,66,2,True,True,True,1,9600000000
83,95,2,True,True,True,14,9400000000
84,95,2,True,True,True,1,3200000000
85,90,2,True,True,True,1,9900000000
86,80,2,True,True,True,3,8000000000
87,100,2,True,True,True,3,11000000000
88,72,2,True,True,False,19,7900000000
89,100,2,True,True,False,19,7900000000
90,100,2,True,True,False,19,7900000000
91,87,2,True,True,True,20,8400000000
92,100,2,True,True,False,19,7900000000
93,50,1,True,True,False,18,6000000000
94,36,1,True,True,True,21,5000000000
95,71,2,True,True,True,6,2300000000
96,81,2,True,True,False,17,5500000000
97,116,2,True,True,True,2,16000000000
98,95,2,True,True,True,12,8700000000
99,140,3,True,True,True,13,14500000000
100,65,1,True,True,True,8,6150000000
101,41,1,True,True,True,20,5650000000
102,62,2,False,False,False,20,5100000000
103,63,1,True,True,False,10,7300000000
104,61,1,True,True,True,15,6500000000
105,60,2,True,True,False,10,6150000000
106,52,1,True,True,True,1,7800000000
107,81,2,True,True,True,1,11700000000
108,130,2,True,True,True,1,28000000000
109,100,2,True,True,True,16,9400000000
110,80,2,True,True,True,8,7500000000
111,90,2,True,True,True,4,8000000000
112,119,2,True,True,True,1,13500000000
113,110,2,True,True,True,1,13000000000
114,118,2,True,True,True,3,11000000000
115,96,2,True,True,True,4,9500000000
116,95,2,True,True,True,3,9500000000
117,98,2,True,True,True,3,9800000000
118,95,2,True,True,True,3,9800000000
119,87,2,True,True,True,18,8300000000
120,95,2,True,True,True,12,8500000000
121,67,1,True,True,True,1,9500000000
122,95,2,True,True,True,14,8800000000
123,82,2,True,True,True,8,8000000000
124,74,2,True,True,True,7,6599000000
125,100,2,True,True,True,7,9000000000
126,85,2,True,True,True,8,8000000000
127,86,2,True,True,True,13,8800000000
128,100,2,True,True,False,19,7900000000
129,100,2,True,True,False,19,7900000000
130,115,2,True,True,True,1,13200000000
131,95,2,True,True,True,4,9400000000
132,118,2,True,True,True,1,13000000000
133,98,2,True,True,True,2,9700000000
134,98,2,True,True,True,1,9800000000
135,125,2,True,True,True,3,12000000000
136,77,2,True,True,True,16,7100000000
137,84,2,True,True,True,1,13500000000
138,100,2,True,True,True,11,12000000000
139,95,2,True,True,True,1,13775000000
140,57,1,True,True,True,1,8500000000
141,48,1,True,True,True,5,5680000000
142,175,3,True,True,True,1,24500000000
143,100,2,True,True,True,5,17200000000
144,80,2,True,True,True,19,7850000000
145,92,2,True,True,True,2,14500000000
146,75,2,True,True,True,11,9950000000
147,115,2,True,True,True,3,21000000000
148,86,2,True,True,True,18,8200000000
149,132,2,True,True,True,8,13500000000
150,127,3,True,True,True,8,16500000000
151,95,2,True,True,True,1,9500000000
152,180,3,True,True,True,1,36000000000
153,130,3,True,True,True,1,24000000000
154,80,2,True,True,True,17,8000000000
155,80,2,True,True,True,4,9000000000
156,88,2,True,True,True,15,8800000000
157,110,2,True,True,True,10,11000000000
158,120,2,True,True,True,6,22600000000
159,79,2,True,True,True,14,7800000000
160,105,2,True,True,True,13,10500000000
161,85,2,True,True,True,13,8000000000
162,65,1,True,True,True,1,8500000000
163,98,2,True,True,True,3,10000000000
164,118,2,True,True,True,4,10000000000
165,75,1,True,True,False,14,8800000000
166,95,2,True,True,True,3,9500000000
167,61,1,False,False,False,26,4270000000
168,62,1,False,False,False,23,4299000000
169,63,1,True,True,True,22,6430000000
170,62,1,True,True,True,20,6450000000
171,62,1,True,True,False,20,6400000000
172,68,2,True,True,False,21,6050000000
173,82,2,True,False,True,1,26240000000
174,70,2,True,False,True,1,22400000000
175,82,1,True,False,True,1,26240000000
176,47,1,True,True,True,11,5500000000
177,63,2,True,True,False,12,6400000000
178,73,2,True,True,True,20,8150000000
179,64,2,True,True,False,15,6000000000
180,61,1,False,False,False,25,4300000000
181,80,2,True,True,False,6,8450000000
182,120,3,True,True,True,1,12000000000
183,100,2,True,True,False,19,8000000000
184,52,1,True,False,False,12,5200000000
185,64,1,True,True,True,6,6800000000
186,63,2,True,False,False,13,7300000000
187,51,1,False,True,True,13,6200000000
188,100,2,True,True,True,4,11700000000
189,77,2,True,True,True,8,9500000000
190,100,2,True,True,False,19,8000000000
191,100,2,True,True,True,19,8000000000
192,72,2,True,True,False,18,8000000000
193,57,1,True,True,True,7,6500000000
194,86,2,True,True,True,8,9120000000
195,102,2,True,True,True,7,11200000000
196,80,2,True,True,True,4,8000000000
197,118,2,True,True,True,1,11000000000
198,66,2,True,True,False,15,5900000000
199,55,2,True,True,True,15,5550000000
200,35,1,True,True,True,21,5000000000
201,68,2,True,True,False,14,6500000000
202,62,2,True,True,False,19,5600000000
203,55,1,True,True,False,14,5200000000
204,70,2,True,True,False,18,5600000000
205,55,2,False,True,False,14,5100000000
206,95,2,True,True,True,7,10700000000
207,80,2,True,True,True,10,6250000000
208,80,2,True,True,True,15,7500000000
209,73,2,True,True,True,3,7100000000
210,79,2,True,True,False,15,5300000000
211,92,2,True,True,True,9,9400000000
212,87,2,True,True,True,9,8180000000
213,66,1,True,True,True,13,6600000000
214,118,2,True,True,True,6,12500000000
215,98,2,True,True,True,3,12000000000
216,102,2,True,True,True,1,12200000000
217,100,2,True,True,True,6,11600000000
218,113,2,True,True,True,11,11800000000
219,125,3,True,True,True,6,13500000000
220,120,2,True,True,True,7,12500000000
221,114,2,True,True,True,5,13000000000
222,75,2,True,True,True,11,7500000000
223,185,3,True,True,True,2,28000000000
224,120,2,True,True,True,5,12500000000
225,105,2,True,True,True,1,11000000000
226,85,2,True,True,True,11,9200000000
227,132,3,True,True,True,1,14200000000
228,140,3,True,True,True,2,15000000000
229,130,3,True,True,True,1,15000000000
230,106,2,True,True,True,8,11800000000
231,60,2,True,True,True,10,5000000000
232,92,2,True,True,True,10,10700000000
233,130,3,True,True,True,5,12800000000
234,126,3,True,True,True,1,15950000000
235,120,2,True,True,True,2,14500000000
236,138,3,True,True,True,5,16100000000
237,137,3,True,True,True,9,16300000000
238,118,2,True,True,True,10,12500000000
239,152,3,True,True,True,4,17000000000
240,92,2,True,True,True,15,9000000000
241,107,2,True,True,True,5,13500000000
242,170,3,True,True,True,1,26000000000
243,105,2,True,True,True,1,12800000000
244,140,3,True,True,True,5,17000000000
245,105,2,True,True,True,11,10500000000
246,98,2,True,True,True,10,8400000000
247,114,2,True,True,True,8,13900000000
248,77,2,True,True,True,15,7750000000
249,85,2,True,True,True,11,8800000000
250,79,2,False,True,True,21,8100000000
251,96,2,True,True,True,15,14250000000
252,95,2,True,True,True,9,12500000000
253,69,2,True,True,False,20,6100000000
254,65,1,True,True,True,2,8500000000
255,83,2,True,True,True,9,8300000000
256,70,2,True,True,True,15,6500000000
257,80,2,True,True,True,19,9180000000
258,82,2,True,True,True,15,7600000000
259,100,2,True,True,True,6,12500000000
260,95,2,True,True,True,14,9280000000
261,98,2,True,True,True,1,12000000000
262,85,2,True,True,True,15,10200000000
263,125,3,True,True,True,1,12000000000
264,105,2,True,True,True,6,9500000000
265,155,3,True,True,True,4,15000000000
266,88,2,True,True,True,13,8200000000
267,87,2,True,True,True,11,8200000000
268,86,2,True,True,True,13,8200000000
269,70,2,True,True,False,23,7450000000
270,85,2,True,True,True,11,8200000000
271,140,3,True,True,True,18,16768000000
272,100,2,True,True,True,1,15150000000
273,61,1,False,True,False,18,5800000000
274,70,1,True,True,False,11,9200000000
275,62,1,False,True,False,18,5800000000
276,76,1,True,True,False,14,7950000000
277,105,2,True,True,True,10,11000000000
278,100,2,True,True,True,10,10100000000
279,99,2,True,True,True,8,10000000000
280,92,2,True,True,True,9,14000000000
281,59,1,True,True,True,18,6600000000
282,65,2,True,True,False,13,5980000000
283,69,2,False,True,False,21,4980000000
284,60,1,True,True,True,14,6850000000
285,58,1,True,True,False,14,5050000000
286,67,1,True,True,False,14,5400000000
287,64,1,True,True,True,13,6080000000
288,120,3,True,True,True,1,21000000000
289,90,2,True,True,True,8,8800000000
290,60,1,True,True,False,7,6350000000
291,70,2,True,True,False,15,7300000000
292,35,1,True,True,True,18,5000000000
293,96,2,True,True,True,1,12600000000
294,56,1,True,True,True,4,5000000000
295,80,2,True,True,True,13,8800000000
296,68,2,True,True,True,15,9100000000
297,85,2,True,True,True,7,9500000000
298,155,3,True,True,True,9,15800000000
299,90,2,True,True,False,21,8800000000
300,72,2,True,True,True,19,7600000000
301,132,3,True,True,True,1,23760000000
302,80,2,True,True,True,19,9800000000
303,86,2,True,True,True,18,10500000000
304,58,1,True,True,True,1,8800000000
305,78,2,True,True,True,5,9600000000
306,87,2,True,True,True,18,9100000000
307,70,2,True,True,False,13,8500000000
308,63,1,True,True,False,14,5500000000
309,68,1,True,True,True,1,11900000000
310,67,1,True,True,True,1,10103000000
311,67,2,True,True,True,21,7500000000
312,50,1,True,True,True,13,5500000000
313,74,2,True,True,False,16,7000000000
314,52,1,True,False,False,16,5650000000
315,74,2,True,True,True,19,8400000000
316,110,2,True,True,True,9,12400000000
317,150,3,True,True,True,5,25500000000
318,64,2,False,True,False,18,5700000000
319,78,2,True,True,False,10,8650000000
320,64,2,True,True,False,18,4800000000
321,70,2,True,True,True,19,8000000000
322,80,2,True,True,False,20,4900000000
323,60,1,True,True,False,17,5380000000
324,80,2,True,True,True,1,3180000000
325,120,2,True,True,True,1,25000000000
326,120,2,True,True,True,23,13000000000
327,122,3,True,True,True,17,14900000000
328,73,2,True,True,True,8,7000000000
329,64,1,True,True,True,9,6400000000
330,63,2,True,True,True,16,6100000000
331,60,1,True,True,True,19,5600000000
332,74,2,True,True,True,20,7000000000
333,60,2,True,True,True,20,5600000000
334,77,2,True,True,True,7,6600000000
