,Meterage,Rooms,Parkings,Storage rooms,Elevator,Year,Price
0,214,3,True,True,True,1,64200000000
1,222,3,True,True,True,1,66600000000
2,214,3,True,True,True,1,64200000000
3,420,5,True,True,False,21,168000000000
4,92,2,True,True,True,14,14300000000
5,190,3,True,True,True,1,57000000000
6,235,3,True,True,True,1,70500000000
7,215,3,True,True,True,1,64500000000
8,195,3,True,True,True,1,58500000000
9,214,3,True,True,True,1,64200000000
10,196,3,True,True,True,1,58800000000
11,88,2,True,True,True,6,16800000000
12,221,3,True,True,True,1,66300000000
13,118,3,True,True,True,17,17500000000
14,148,3,True,True,True,1,23900000000
15,148,3,True,True,True,1,28000000000
16,158,3,True,True,True,18,22500000000
17,219,3,True,True,True,1,65700000000
18,110,2,True,True,True,1,22500000000
19,120,2,True,True,True,10,18000000000
20,200,3,True,True,True,1,50000000000
21,140,3,True,True,True,10,26200000000
22,100,2,True,True,True,1,19000000000
23,220,3,True,True,True,2,66000000000
24,180,3,True,True,True,1,35000000000
25,222,3,True,True,True,1,66600000000
26,220,3,True,True,True,1,66000000000
27,140,3,True,True,True,11,19000000000
28,165,3,True,True,True,1,35000000000
29,200,4,False,False,False,33,64000000000
30,150,3,True,True,True,19,26700000000
31,90,2,True,True,True,18,13200000000
32,105,2,True,True,True,9,18000000000
33,150,3,True,True,True,18,19500000000
34,130,3,True,True,True,4,28000000000
35,140,3,True,True,True,10,26500000000
36,130,3,True,True,True,16,21000000000
37,110,2,True,True,True,4,17500000000
38,70,1,True,True,True,1,14000000000
39,100,2,True,True,True,3,17000000000
40,110,2,True,True,True,1,20000000000
41,98,2,True,True,True,3,16500000000
42,100,2,True,True,True,1,19000000000
43,108,2,True,True,True,8,18000000000
44,100,2,True,True,True,3,19000000000
45,111,2,True,True,True,6,17000000000
46,69,1,True,True,True,1,12000000000
47,110,2,True,True,True,6,20000000000
48,105,2,True,True,True,9,17000000000
49,79,2,True,True,True,1,12000000000
50,160,2,True,True,True,13,21000000000
51,99,2,True,True,True,4,16800000000
52,110,2,True,True,True,11,15400000000
53,110,2,True,True,True,5,19000000000
54,75,2,True,True,True,9,11200000000
55,110,2,True,True,True,3,17000000000
56,170,3,True,True,True,13,22000000000
57,115,2,True,True,True,1,21000000000
58,99,2,True,True,True,6,17000000000
59,105,2,True,True,True,5,18000000000
60,70,2,True,True,True,2,12000000000
61,110,2,True,True,True,4,20000000000
62,100,2,True,True,True,6,17000000000
63,105,2,True,True,True,3,18000000000
64,125,2,True,True,True,3,21500000000
65,164,3,True,True,True,6,25000000000
66,161,3,True,True,True,4,25000000000
67,163,3,True,True,True,4,25000000000
68,165,3,True,True,True,4,25000000000
69,160,3,True,True,True,11,25000000000
70,70,2,True,True,True,2,14000000000
71,100,2,True,True,True,3,18000000000
72,150,3,True,True,True,8,27500000000
73,214,3,True,True,True,1,64200000000
74,219,3,True,True,True,1,65700000000
75,220,3,True,True,True,1,66000000000
76,130,2,True,True,True,17,18900000000
77,120,2,True,True,True,17,17900000000
78,118,2,True,True,True,12,16500000000
79,70,1,True,True,True,1,12000000000
80,123,2,True,True,True,8,24500000000
81,123,2,True,True,True,8,24000000000
82,100,2,True,True,True,1,22000000000
83,100,2,True,True,True,14,18000000000
84,125,3,True,True,True,8,24000000000
85,125,2,True,True,True,8,24000000000
86,123,2,True,True,True,7,24500000000
87,98,2,True,True,True,16,13500000000
88,72,1,True,True,True,8,7500000000
89,85,2,True,True,True,10,13000000000
90,116,2,True,True,True,13,17800000000
91,153,3,True,True,True,17,19900000000
92,146,3,True,True,True,6,18500000000
93,53,1,True,True,True,6,8000000000
94,130,2,True,True,True,13,20000000000
95,100,2,True,True,True,13,13500000000
96,105,2,True,True,True,13,13500000000
97,125,2,True,True,True,8,23000000000
98,125,2,True,True,True,7,23000000000
99,123,2,True,True,True,8,23000000000
100,214,3,True,True,True,1,64200000000
101,119,2,True,True,True,5,17400000000
102,95,2,True,True,True,8,12800000000
103,85,2,True,True,True,18,11500000000
104,95,2,True,True,True,8,12800000000
105,180,3,True,True,True,7,27000000000
106,155,3,True,True,True,18,19500000000
107,125,3,True,True,True,19,15000000000
108,92,2,True,True,True,19,13000000000
109,200,3,True,True,True,2,60000000000
110,115,3,True,True,True,14,17000000000
111,118,2,True,True,True,1,17200000000
112,380,5,True,True,False,30,155000000000
113,80,2,True,True,True,11,13500000000
114,150,3,True,True,True,1,34500000000
115,154,3,True,True,True,21,21000000000
116,160,3,True,True,True,10,27500000000
117,185,3,True,True,True,17,24000000000
118,103,2,False,False,True,17,13400000000
119,165,3,True,True,True,6,26000000000
120,110,2,True,True,True,8,15000000000
121,165,3,True,True,True,1,36000000000
122,110,2,True,True,True,17,17500000000
123,180,3,True,True,True,18,26000000000
124,200,3,True,True,True,9,30000000000
125,100,2,True,True,True,2,19600000000
126,160,3,True,True,True,6,24000000000
127,130,3,True,True,True,18,17500000000
128,100,2,True,True,True,21,13800000000
129,140,3,True,True,True,7,28000000000
130,145,3,True,True,True,3,25000000000
131,200,3,True,True,True,15,23000000000
132,98,2,True,True,True,18,16800000000
133,121,2,True,True,True,1,26200000000
134,235,4,True,True,True,18,31000000000
135,195,3,True,True,True,8,27700000000
136,200,3,True,True,True,10,34000000000
137,110,2,True,True,True,10,24700000000
138,100,2,True,True,True,4,17500000000
139,67,1,True,True,True,7,11300000000
140,180,3,True,True,True,3,34000000000
141,125,2,True,True,True,10,18000000000
142,180,3,True,True,True,5,34500000000
143,106,2,True,True,True,5,20140000000
144,140,3,True,True,True,16,20000000000
145,135,3,True,True,True,16,20000000000
146,200,3,True,True,True,1,60000000000
147,240,3,True,True,True,1,72000000000
148,300,4,True,True,True,19,45000000000
149,95,2,True,True,True,2,21200000000
150,219,3,True,True,True,1,65700000000
151,196,3,True,True,True,1,58800000000
152,221,3,True,True,True,1,66300000000
153,105,2,True,True,True,4,18000000000
154,85,2,True,True,True,6,13600000000
155,215,3,True,True,True,12,34000000000
156,93,2,True,True,True,2,21200000000
157,140,2,True,True,True,3,16000000000
158,92,2,True,True,True,3,21100000000
159,90,2,True,True,True,3,21000000000
160,107,2,True,True,True,1,21000000000
161,70,1,True,True,True,1,13400000000
162,110,2,True,True,True,1,30000000000
163,125,2,True,True,True,23,18000000000
164,110,3,True,True,True,13,16500000000
165,70,1,True,True,True,1,13400000000
166,125,2,True,True,True,24,19700000000
167,75,2,True,True,True,14,11500000000
168,165,3,True,True,True,1,41250000000
169,75,2,True,True,True,18,11500000000
170,160,3,True,True,True,16,24000000000
171,214,3,True,True,True,1,64200000000
172,104,2,True,True,True,20,17000000000
173,100,2,True,True,True,21,16500000000
174,196,3,True,True,True,1,58800000000
175,110,2,True,True,True,4,18500000000
176,140,3,True,True,True,9,26000000000
177,173,3,True,True,True,2,45000000000
178,118,3,True,True,True,2,21000000000
179,90,2,True,True,True,8,16300000000
180,152,3,True,True,True,6,35000000000
181,152,3,True,True,True,5,20000000000
182,150,3,True,True,True,4,27000000000
183,125,2,True,True,True,17,16800000000
184,101,2,True,True,True,16,16800000000
185,100,2,True,True,True,16,17000000000
186,115,2,True,True,True,17,15500000000
187,105,2,True,True,True,4,17000000000
188,123,2,True,True,True,2,25000000000
189,114,2,True,True,True,16,15600000000
190,110,2,True,True,True,15,15600000000
191,101,2,True,True,True,15,16800000000
192,100,2,True,True,True,4,17000000000
193,90,2,True,True,True,3,17000000000
194,160,3,True,True,True,8,23000000000
195,130,2,True,True,True,1,26700000000
196,110,2,True,True,True,8,25000000000
197,150,3,True,True,True,6,38000000000
198,175,3,True,True,True,1,35000000000
199,155,3,True,True,True,1,34500000000
200,220,3,True,True,True,1,50000000000
201,225,3,True,True,True,1,50000000000
202,115,2,True,True,True,1,22500000000
203,197,3,True,True,True,2,59100000000
204,235,3,True,True,True,1,70500000000
205,197,3,True,True,True,1,59100000000
206,190,3,True,True,True,14,21900000000
207,60,2,True,True,True,18,8600000000
208,100,2,True,True,True,4,17400000000
209,100,2,True,True,True,5,18000000000
210,150,3,True,True,True,8,27500000000
211,97,2,True,True,True,13,16100000000
212,215,3,True,True,True,1,64500000000
213,197,3,True,True,True,1,59100000000
214,115,3,True,True,True,10,16900000000
215,130,2,True,True,True,7,22000000000
216,80,2,True,True,True,6,13600000000
